,Unnamed: 0,num_iters,km_perturb,kc_perturb,loss,k1,k2,theta1,theta2,circuit,perturbed
50,50,500,0.9,1.25,0.0603011023495994,0.0006513034542839,5.474197897844761e-05,2.6333831549425946,9.96894500722758,Dual Control,True
51,51,500,0.95,1.25,0.0607691921963838,0.0003728747189742,4.489152014702566e-05,3.945894163509153,9.871081981154864,Dual Control,True
52,52,500,1.05,1.25,0.0609360362185098,0.0007358046674889,5.9718749593282085e-05,2.122783148252162,9.9990926177519,Dual Control,True
53,53,500,1.1,1.25,0.0620832462520792,7.479310882350361e-05,8.660166517988461e-05,9.223837508989092,9.525385889929105,Dual Control,True
54,54,500,1.25,1.25,0.0619370099827324,0.0008327516865128,4.640454995820039e-05,2.4900343816219066,9.376979936088285,Dual Control,True
55,55,500,1.5,1.25,0.0634583623348763,0.0005129902970385,3.83247596604104e-05,4.023860601598614,9.346023524817966,Dual Control,True
56,56,500,0.5,1.5,0.0549628488858986,0.0007808261600185,7.32334180402315e-05,1.3687445571498846,9.604337728377477,Dual Control,True
57,57,500,0.75,1.5,0.0569706229401708,0.0008149786862291,6.661412823967044e-05,1.5291702324639591,9.372613202254676,Dual Control,True
58,58,500,0.9,1.5,0.0585122317326395,0.0009111349097174,9.484602742313656e-05,1.2529438241268571,9.659033367224652,Dual Control,True
59,59,500,0.95,1.5,0.0583528618740557,0.0004522246680906,7.421859122914839e-05,2.359657334570658,9.997761278435071,Dual Control,True
60,60,500,1.05,1.5,0.0594073592378166,0.0003176332132558,7.175227686373096e-05,2.988222330843974,9.602637020180149,Dual Control,True
61,61,500,1.1,1.5,0.0592566015706876,0.0006132794430252,6.544597772330174e-05,2.027921093661468,9.98557727682684,Dual Control,True
62,62,500,1.25,1.5,0.0594567223170354,0.0008608014321199,4.153272217561969e-05,2.6291880317056995,9.995116080248296,Dual Control,True
63,63,500,1.5,1.5,0.0611731430525445,0.0001145368542581,5.887006036510829e-05,7.879007008817533,9.9748816818913,Dual Control,True
64,64,500,0.5,0.5,0.0754574532427069,0.0004433973502868,7.330077854796585e-05,4.148393612558252,9.992820276923998,Dual Control,True
65,65,500,0.75,0.5,0.0780899241447589,0.0005532859914918,5.64362368395086e-05,5.695199656630559,9.990692120322942,Dual Control,True
66,66,500,0.9,0.5,0.0786699287760903,0.0008740698807872,5.772637773396235e-05,3.885498122913666,9.625430624541366,Dual Control,True
67,67,500,0.95,0.5,0.080168502693737,0.0004378803602961,4.274552852460426e-05,9.069671909763564,7.492566031390751,Dual Control,True
68,68,500,1.05,0.5,0.0805414710270275,0.0006391887870877,4.235140341758424e-05,7.966647881710664,6.965271792079977,Dual Control,True
69,69,500,1.1,0.5,0.0806572186188527,0.0003496302306638,4.895148065191416e-05,8.499642261319893,8.748241617898119,Dual Control,True
70,70,500,1.25,0.5,0.0799608328622159,0.000804342494152,3.943354397672072e-05,9.69902261755148,9.9596065793789,Dual Control,True
71,71,500,1.5,0.5,0.0816988922997776,0.0007772226536908,3.909874500006468e-05,9.118883723694212,0.1852231567635191,Dual Control,True
72,72,500,0.5,0.75,0.0662130281195528,0.0001320186431191,7.191161405742092e-05,6.082499101490102,9.953166908301222,Dual Control,True
73,73,500,0.75,0.75,0.0682357138051044,0.0002342761368707,6.957044823260529e-05,5.193380995447372,9.995191326926,Dual Control,True
74,74,500,0.9,0.75,0.0692989678425599,0.0002071491077871,5.5985233991761466e-05,6.850753908636021,9.830080521787082,Dual Control,True
75,75,500,0.95,0.75,0.0697260074966432,0.0003098581899422,4.400020023089497e-05,6.803911286728442,9.762217268823752,Dual Control,True
76,76,500,1.05,0.75,0.0698924991383387,0.0003685856206611,5.25548460082138e-05,5.303834901128712,9.925283270642776,Dual Control,True
77,77,500,1.1,0.75,0.0703174420023067,0.0004483301510349,4.34114151287282e-05,5.843133228170661,9.68942550492043,Dual Control,True
