,num_iters,km_perturb,kc_perturb,loss,k1,k2,theta1,theta2
93,500,1.1,0.95,0.06346873768649199,4.960226647204512e-05,2.6781605691477025e-05,3.3728549545331967,0.3445546664480261
94,500,1.25,0.95,0.06452379632904216,5.567044257138216e-05,2.7239955599871973e-05,8.938946738472088,7.194454626686829
95,500,1.5,0.95,0.06375942681065948,4.7969174818562906e-05,2.4801411915598058e-05,2.9769610933287054,2.920665753543216
96,500,0.5,1.05,0.06168094253094172,4.591426012943491e-05,2.1685584590317492e-05,9.833777748213091,0.4149065764936297
97,500,0.75,1.05,0.06239002801452943,4.111546111154536e-05,2.0727597242797342e-05,6.0553430584484325,0.22332314503521422
98,500,0.9,1.05,0.06284988155490648,5.466263723761574e-05,2.7005080957081157e-05,3.461142472879612,1.2408231602982382
99,500,0.95,1.05,0.06236152040918448,4.043465817802235e-05,2.2123246827600034e-05,2.2278115597451498,2.9212800992068075
100,500,1.05,1.05,0.06229247159645934,4.9319773994714776e-05,2.213560478856395e-05,0.3007181059023827,7.001907781704337
101,500,1.1,1.05,0.0621887791506453,4.186813598392871e-05,2.296241258655206e-05,7.116830121748408,2.5266374002557623
102,500,1.25,1.05,0.062254139505610304,4.7189252643019364e-05,2.2340083577400568e-05,0.7234593451195623,6.755672528524682
103,500,1.5,1.05,0.06348805440741156,4.824362750313898e-05,1.9771840103958646e-05,6.116496080756628,5.705819078583511
104,500,0.5,1.1,0.0609309737281309,4.67205516972599e-05,2.223344529503546e-05,5.9092623343441675,4.121860202837355
105,500,0.75,1.1,0.06123407639852449,4.91226811833426e-05,2.299028596313949e-05,1.6661524253831825,3.9488111104881587
106,500,0.9,1.1,0.06215566177631592,4.0945344873033006e-05,1.9585062172128255e-05,6.562119213784974,4.861883954307197
107,500,0.95,1.1,0.061373770964131935,4.764101508696391e-05,2.1987398431676206e-05,5.136042103493974,7.187515154515669
108,500,1.05,1.1,0.06127158018155369,4.4977157862916884e-05,2.326763701606898e-05,9.999263278090138,0.38413985426029107
109,500,1.1,1.1,0.06173540334184769,5.141482434158555e-05,2.3203659732553785e-05,6.4866861735273815,6.735901680441011
110,500,1.25,1.1,0.062467513065098276,4.1502112704675e-05,1.9542005005145482e-05,8.563293246608062,8.337342569781935
111,500,1.5,1.1,0.062021185336963026,4.256716964555831e-05,2.6711511855313663e-05,2.319901252131615,9.254313342656292
112,500,0.5,1.25,0.05946186556492976,4.349690598228238e-05,2.313435946189547e-05,0.7902131091315652,1.0604771721876687
113,500,0.75,1.25,0.060016122032749517,4.304087786338389e-05,2.540918437921036e-05,5.84023616513495,1.1278493538904772
114,500,0.9,1.25,0.059885843233024816,4.951574058839435e-05,2.0641107458546033e-05,0.26844854691703024,6.006236588306819
115,500,0.95,1.25,0.0605178393192534,5.109340551294104e-05,1.8779568015814977e-05,9.80942880213034,9.006643489699476
116,500,1.05,1.25,0.060078143088374926,5.097048022975592e-05,2.293957923830303e-05,9.152499662713865,0.7081697752420493
117,500,1.1,1.25,0.05974870289696929,4.623860385024787e-05,2.171159740732715e-05,8.476378326024193,7.208949084148655
118,500,1.25,1.25,0.06161722621702877,3.716060122376631e-05,2.4993802309233355e-05,9.362594762667628,7.093534087823993
119,500,1.5,1.25,0.06144106307228338,5.62109216544619e-05,2.0000911323473308e-05,4.489792640110785,3.7203329067169615
120,500,0.5,1.5,0.05746000396626177,4.46131415743317e-05,1.8541515990615657e-05,4.3976230407093295,3.1389583508476213
121,500,0.75,1.5,0.0577560428569621,4.664582132343787e-05,2.1800316263608714e-05,0.7571858849038122,2.70438914598557
122,500,0.9,1.5,0.0584285414577794,4.519814944422118e-05,2.460313451898097e-05,4.477748196984395,2.1800924141081586
123,500,0.95,1.5,0.05786685669537337,4.4371118928299215e-05,2.1573408015601514e-05,4.84058890804482,0.5989487951288748
124,500,1.05,1.5,0.0585143265785244,4.513004173293067e-05,1.5696448528059142e-05,1.0882070166130213,9.958113401926779
125,500,1.1,1.5,0.05797564542546181,4.918880942174537e-05,2.1196484213340395e-05,9.206344428254132,8.942643428200677
126,500,1.25,1.5,0.05930165398768988,5.513946466493331e-05,2.3988895548366805e-05,4.709807167055921,2.0434577316141542
127,500,1.5,1.5,0.058246672769194534,4.4232486152965276e-05,2.2141677495263148e-05,8.396680208574422,3.0059742226993125
128,500,0.5,0.5,0.07439310864492765,4.91831592248525e-05,3.687673266202036e-05,1.3718472301769467,7.106591629693416
129,500,0.75,0.5,0.07472337690387211,4.967623260380047e-05,4.176210766523859e-05,2.217885777997406,1.1511849070502587
130,500,0.9,0.5,0.07494837449494623,4.742170760200573e-05,4.193799463371229e-05,4.805001871785363,6.635489646814759
131,500,0.95,0.5,0.07568664480970144,4.855266869486514e-05,3.5379075789673434e-05,0.053183267140836765,6.10261097033457
