,circuits,k1,k2,theta1,theta2,loss,Circuit,pc1,pc2,tsne1,tsne2
41,"[(1, 0, 0), (1, 0, 0)]",0.0,0.0,2.6292108179009484e-05,0.0009820915108933901,1.0269414886325348,Invalid Circuit,0.2620430970447851,-0.013433136277854741,-4.3162565,-10.558891
42,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.000392572944804696,0.00027132338141473976,0.7141148766366365,Dual Control,0.43444045442062934,-0.9421254657406606,1.0663594,-7.1789036
43,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,0.0004949019283994107,0.0005500846228238752,1.120384042938831,Dual Control,1.0044443175218556,-0.33148160196443727,2.6970894,-9.307637
44,"[(0, 0, 1), (0, 1, 0)]",2.0,1.0,0.0006439680061336862,0.0001989867832121721,0.8867667018491157,Invalid Circuit,0.8037659207377151,-0.5835716590893797,11.367128,0.21097036
45,"[(0, 0, 1), (1, 0, 0)]",2.0,0.0,0.0005310602646102882,0.0003880290816370103,0.9840960136187976,Downstream Activation,1.5457233017123488,-1.089794458390163,9.920736,-6.420257
46,"[(1, 0, 0), (1, 0, 0)]",0.0,0.0,0.0004487697038066236,0.0009782224743327132,1.4947827858610494,Invalid Circuit,0.8547236631785048,0.8007798669103602,6.628087,-12.152323
47,"[(0, 0, 1), (1, 0, 0)]",2.0,0.0,0.0007580848077643608,0.0005626475366067617,1.4049239515222371,Downstream Activation,2.1336156320899535,-0.39108228054059035,8.647491,-6.510221
48,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,7.245250300143779e-05,0.00016512536897672855,0.25304736169876546,Dual Control,-0.18103399152203767,-1.7203807300935645,-1.6779811,-6.2179465
49,"[(1, 0, 0), (0, 0, 1)]",0.0,2.0,0.0005511610455223812,5.8771655160008544e-05,0.6300753794609556,Invalid Circuit,-1.6294710922384223,0.7734750710122972,-5.306486,12.375724
50,"[(1, 0, 0), (0, 0, 1)]",0.0,2.0,0.00013478106123053545,9.117411451967105e-05,0.24666539110116098,Invalid Circuit,-2.1700081089767953,0.013272388345241314,-10.339625,11.807122
51,"[(1, 0, 0), (0, 0, 1)]",0.0,2.0,1e-07,1e-07,0.4930048353394046,Invalid Circuit,-2.4996871214788148,-0.3827324706341276,-11.544518,13.396248
52,"[(1, 0, 0), (0, 0, 1)]",0.0,2.0,1e-07,1e-07,0.4930048353394055,Invalid Circuit,-2.4996871214788148,-0.3827324706341276,-12.179949,12.4777775
53,"[(1, 0, 0), (0, 0, 1)]",0.0,2.0,1e-07,1e-07,0.49300483533940503,Invalid Circuit,-2.4996871214788148,-0.3827324706341276,-12.301235,11.101565
54,"[(1, 0, 0), (0, 0, 1)]",0.0,2.0,1e-07,1e-07,0.49300483533940564,Invalid Circuit,-2.4996871214788148,-0.3827324706341276,-11.728115,11.007799
