,circuits,k1,k2,theta1,theta2,loss,Circuit
142,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.49300483533942213,Upstream Repression
143,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.4930048353394056,Upstream Repression
144,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,1e-07,1e-07,0.4930048353394046,No Control
145,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,1e-07,1e-07,0.4930048353394046,No Control
146,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,1e-07,1e-07,0.4930048353394046,No Control
147,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.49300483533942163,Upstream Repression
148,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.4930048353394056,Upstream Repression
149,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.4930048353394231,Upstream Repression
150,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.4930048353394225,Upstream Repression
151,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.49300483533942285,Upstream Repression
152,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,1e-07,1e-07,0.49300483533940537,No Control
153,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,1e-07,1e-07,0.49300483533940537,No Control
154,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.4930048353394223,Upstream Repression
155,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,1e-07,1e-07,0.4930048353394049,No Control
156,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,1e-07,1e-07,0.4930048353394047,No Control
157,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,1e-07,0.49300483533942285,Dual Control
158,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,1e-07,1e-07,0.493004835339405,No Control
159,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,1e-07,1e-07,0.4930048353394046,No Control
160,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,1e-07,1e-07,0.4930048353394046,No Control
161,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,1e-07,1e-07,0.49300483533940526,No Control
162,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,1e-07,1e-07,0.4930048353394046,No Control
163,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.49300483533942235,Upstream Repression
164,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.49300483533940587,Upstream Repression
